experiment_id,scenario,start_ts,duration_s,seed
1,LOW_LOAD,1783106861.555,23.6,3413273
2,BACKGROUND_TRAFFIC,1783106890.440,68.2,509404
3,HIGH_LOAD,1783106963.863,64.4,4474689
4,LOW_LOAD,1783107033.497,33.7,7381480
5,BACKGROUND_TRAFFIC,1783107072.509,57.7,2805325
6,BACKGROUND_TRAFFIC,1783107135.533,47.0,272229
7,ELEPHANT_FLOW,1783107187.772,88.6,4666359
8,ELEPHANT_FLOW,1783107281.656,96.9,7714162
9,BURST,1783107383.870,14.0,3235592
10,FAILURE,1783107403.089,77.1,2031147
11,IDLE,1783107485.478,20.2,6497735
12,MIX_TCP,1783107510.886,24.1,1693527
13,ELEPHANT_FLOW,1783107540.131,111.5,7291164
14,BURST,1783107656.894,13.2,8170639
15,IDLE,1783107675.310,24.5,2042438
